DATE,T10Y2Y
2017-03-14,1.20
2017-03-15,1.18
DATE,T10Y2Y
2017-03-15,1.18
2017-03-16,1.18
DATE,T10Y2Y
2017-03-16,1.18
2017-03-17,1.17
DATE,T10Y2Y
2017-03-17,1.17
2017-03-20,1.17
DATE,T10Y2Y
2017-03-20,1.17
2017-03-21,1.16
DATE,T10Y2Y
2017-03-21,1.16
2017-03-22,1.13
DATE,T10Y2Y
2017-03-22,1.13
2017-03-23,1.15
DATE,T10Y2Y
2017-03-23,1.15
2017-03-24,1.14
DATE,T10Y2Y
2017-03-24,1.14
2017-03-27,1.11
DATE,T10Y2Y
2017-03-27,1.11
2017-03-28,1.12
DATE,T10Y2Y
2017-03-28,1.12
2017-03-29,1.13
DATE,T10Y2Y
2017-03-29,1.13
2017-03-30,1.14
DATE,T10Y2Y
2017-03-30,1.14
2017-03-31,1.13
DATE,T10Y2Y
2017-03-31,1.13
2017-04-03,1.11
DATE,T10Y2Y
2017-04-03,1.11
2017-04-04,1.11
2017-04-05,1.10
DATE,T10Y2Y
2017-04-05,1.10
2017-04-06,1.10
DATE,T10Y2Y
2017-04-06,1.10
2017-04-07,1.09
DATE,T10Y2Y
2017-04-07,1.09
2017-04-10,1.08
DATE,T10Y2Y
2017-04-10,1.08
2017-04-11,1.08
DATE,T10Y2Y
2017-04-11,1.08
2017-04-12,1.04
DATE,T10Y2Y
2017-04-12,1.04
2017-04-13,1.03
DATE,T10Y2Y
2017-04-13,1.03
2017-04-14,.
DATE,T10Y2Y
2017-04-17,1.05
DATE,T10Y2Y
2017-04-17,1.05
2017-04-18,1.00
DATE,T10Y2Y
2017-04-18,1.00
2017-04-19,1.02
DATE,T10Y2Y
2017-04-19,1.02
2017-04-20,1.03
DATE,T10Y2Y
2017-04-20,1.03
2017-04-21,1.04
DATE,T10Y2Y
2017-04-21,1.04
2017-04-24,1.03
DATE,T10Y2Y
2017-04-24,1.03
2017-04-25,1.06
DATE,T10Y2Y
2017-04-25,1.06
2017-04-26,1.04
DATE,T10Y2Y
2017-04-26,1.04
2017-04-27,1.05
DATE,T10Y2Y
2017-04-27,1.05
2017-04-28,1.01
DATE,T10Y2Y
2017-04-28,1.01
2017-05-01,1.05
DATE,T10Y2Y
2017-05-01,1.05
2017-05-02,1.02
DATE,T10Y2Y
2017-05-02,1.02
2017-05-03,1.03
DATE,T10Y2Y
2017-05-03,1.03
2017-05-04,1.04
DATE,T10Y2Y
2017-05-04,1.04
2017-05-05,1.04
2017-05-08,1.06
DATE,T10Y2Y
2017-05-08,1.06
2017-05-09,1.05
DATE,T10Y2Y
2017-05-09,1.05
2017-05-10,1.06
DATE,T10Y2Y
2017-05-10,1.06
2017-05-11,1.04
DATE,T10Y2Y
2017-05-11,1.04
2017-05-12,1.04
DATE,T10Y2Y
2017-05-12,1.04
2017-05-15,1.03
DATE,T10Y2Y
2017-05-15,1.03
2017-05-16,1.04
DATE,T10Y2Y
2017-05-16,1.04
2017-05-17,0.96
DATE,T10Y2Y
2017-05-17,0.96
2017-05-18,0.96
DATE,T10Y2Y
2017-05-18,0.96
2017-05-19,0.95
DATE,T10Y2Y
